Bulan,2019,2020,2021,2022,2023
Januari,300.5,411.6,330.5,317.3,357.9
Februari,360.5,173.1,262.5,183.2,211.7
Maret,133.6,194.2,160.1,111.1,240.6
April,128.0,191.7,165.7,120.5,147.9
Mei,331.1,59.8,84.5,199.5,219.4
Juni,207.0,47.8,33.4,113.6,76.1
Juli,120.9,67.2,84.1,77.4,102.5
Agustus,180.4,0,84.9,117.4,7.8
September,123.6,0.5,157.2,65.6,2
Oktober,224.8,122.2,127.6,211.9,4
November,273.7,142.4,384.2,114.8,73.8
Desember,300.5,157.9,235.8,215.8,118.9
